wells-fargo-active-cash-card|Phone Protection|multiple_choice|['No', 'Somewhat', 'Highly']|Do you value having insurance to protect your phone against damage or theft just by paying your bill?|Cell Phone Protection|[0.0, 0.5, 1.0]
blue-cash-preferred-card-from-american-express|Disney Credit|multiple_choice|['No', 'Yes']|Do you currently pay for Disney+, Hulu, or ESPN+ and want $10 back every month?|Streaming|[0.0, 1.0]
capital-one-venture-rewards-credit-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you travel enough to justify a $120 credit to skip the long security lines at the airport?|Travel Security|[0.0, 1.0]
chase-sapphire-reserve|Travel Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you spend at least $300 annually on travel, including flights, tolls, and parking?|Travel|[0.0, 0.5, 1.0]
chase-sapphire-reserve|The Edit Hotel Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you enjoy staying at curated luxury hotels and receiving on-property experience credits?|Hotel|[0.0, 0.5, 1.0]
chase-sapphire-reserve|Trusted Traveler Credit|multiple_choice|['No', 'Yes']|Do you value having a credit for Global Entry, TSA PreCheck, or NEXUS for smoother travel?|Travel|[0.0, 1.0]
chase-sapphire-reserve|Priority Pass|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value having unlimited access to airport lounges for food and quiet workspace?|Lounge|[0.0, 0.5, 1.0]
chase-sapphire-reserve|DoorDash Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you regularly use food delivery and value up to $300 in annual credits?|Delivery|[0.0, 0.5, 1.0]
chase-sapphire-reserve|Entertainment Credit|multiple_choice|['No', 'Sometimes', 'Yes']|How often do you buy tickets for live concerts, professional sports, or theater events via StubHub?|Entertainment|[0.0, 0.5, 1.0]
chase-sapphire-reserve|Lyft Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you use Lyft for commuting or travel and want to earn bonus points and statement credits?|Rideshare|[0.0, 0.5, 1.0]
chase-sapphire-reserve|Peloton Credit|multiple_choice|['No', 'Yes']|Is a premium fitness subscription like Peloton a priority for your health routine?|Fitness|[0.0, 1.0]
chase-sapphire-reserve|IHG Platinum Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you stay at IHG hotels and value perks like room upgrades and late checkout?|Hotel Status|[0.0, 0.5, 1.0]
chase-sapphire-reserve|Exclusive Tables|multiple_choice|['No', 'Sometimes', 'Yes']|Do you enjoy having special access to sought-after restaurant reservations?|Dining|[0.0, 0.5, 1.0]
american-express-platinum-card|Airline Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you fly enough to utilize credits for incidental fees like checked bags or on-board refreshments?|Airline|[0.0, 0.5, 1.0]
american-express-platinum-card|Hotel Credit|multiple_choice|['No', 'Sometimes', 'Yes']|How likely are you to book a 2-night luxury stay through a premium hotel collection to get on-property credits?|Hotel|[0.0, 0.5, 1.0]
american-express-platinum-card|CLEAR Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you want to skip the identity check line at major airport security checkpoints with biometric verification?|Travel Security|[0.0, 0.5, 1.0]
american-express-platinum-card|Uber Cash|multiple_choice|['No', 'Sometimes', 'Yes']|Do you use ride-sharing for transit or order restaurant delivery at least once a month?|Rideshare,Food Delivery|[0.0, 0.5, 1.0]
american-express-platinum-card|Entertainment Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you currently pay for subscriptions like The New York Times, Peacock, or The Wall Street Journal?|Streaming,Entertainment|[0.0, 0.5, 1.0]
american-express-platinum-card|Resy Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you dine at sought-after restaurants and value having special access to reservations?|Dining|[0.0, 0.5, 1.0]
american-express-platinum-card|lululemon Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you frequently buy high-quality athletic wear or yoga gear for your fitness routine?|Shopping,Fitness|[0.0, 0.5, 1.0]
american-express-platinum-card|Walmart+ Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value free grocery shipping and the Paramount+ streaming service through a single membership?|Shopping|[0.0, 0.5, 1.0]
american-express-platinum-card|Saks Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you shop for designer fashion, luxury skincare, or high-end home decor at premium department stores?|Shopping|[0.0, 0.5, 1.0]
american-express-platinum-card|Equinox Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Is a premium high-end gym membership like Equinox a priority for your health routine?|Fitness|[0.0, 0.5, 1.0]
american-express-platinum-card|Oura Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value advanced sleep and health tracking with a premium smart ring?|Fitness,Wellness|[0.0, 0.5, 1.0]
wells-fargo-reflect-card|Phone Protection|multiple_choice|['No', 'Yes']|Would you like up to $600 in coverage for your cell phone just for paying your monthly bill?|Cell Phone Protection|[0.0, 1.0]
chase-freedom-flex|DashPass|multiple_choice|['No', 'Yes']|Do you want to save on delivery fees for your food orders?|Delivery|[0.0, 1.0]
citi-strata-premier-card|Hotel Savings|multiple_choice|['No', 'Once a year', 'Twice+']|Do you book single hotel stays over $500 that could benefit from a $100 annual discount?|Hotel|[0.0, 0.7, 1.0]
blue-cash-everyday-card-from-american-express|Disney Credit|multiple_choice|['No', 'Yes']|Do you want $7 back every month on your Disney Bundle subscription?|Streaming|[0.0, 1.0]
united-explorer-card|Free Bag|multiple_choice|['No', 'Sometimes', 'Yes']|Do you typically fly with checked luggage that incurs a fee?|Airline|[0.0, 0.5, 1.0]
united-explorer-card|Priority Boarding|multiple_choice|['No', 'Sometimes', 'Yes']|Is being among the first to board and securing overhead bin space important to you?|Airline|[0.0, 0.5, 1.0]
united-explorer-card|Club Passes|multiple_choice|['No', 'Sometimes', 'Yes']|How much do you value having a quiet workspace or refreshments during your United layovers?|Lounge Access|[0.0, 0.5, 1.0]
united-explorer-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you want the government to reimburse your Global Entry or TSA PreCheck application fee?|Travel Security|[0.0, 1.0]
united-explorer-card|Inflight Savings|multiple_choice|['No', 'Sometimes', 'Yes']|Do you buy snacks or drinks on United flights and want 25% back?|Airline|[0.0, 0.5, 1.0]
marriott-bonvoy-boundless-credit-card|Free Night|multiple_choice|['No', 'Yes']|Would you use a "Free Night Award" at a Marriott property worth up to 35,000 points annually?|Hotel|[0.0, 1.0]
marriott-bonvoy-boundless-credit-card|Elite Credits|multiple_choice|['No', 'Yes']|Are you trying to reach a higher level of Marriott status and need a 15-night head start each year?|Hotel Status|[0.0, 1.0]
delta-skymiles-platinum-american-express-card|Companion Certificate|multiple_choice|['No', 'Yes']|Do you travel with a companion and want a "buy one, get one" certificate for a domestic flight once a year?|Airline|[0.0, 1.0]
delta-skymiles-platinum-american-express-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you want an easy way to cover the cost of Global Entry or TSA PreCheck?|Travel Security|[0.0, 1.0]
delta-skymiles-platinum-american-express-card|Resy Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you dine at Resy restaurants and want $120 in annual statement credits?|Dining|[0.0, 0.5, 1.0]
delta-skymiles-platinum-american-express-card|Rideshare Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you use rideshares enough to utilize $120 in annual credits?|Rideshare|[0.0, 0.5, 1.0]
delta-skymiles-platinum-american-express-card|Delta Stays Credit|multiple_choice|['No', 'Sometimes', 'Yes']|How likely are you to book a hotel through Delta's portal to use a $150 statement credit?|Hotel|[0.0, 0.5, 1.0]
hilton-honors-american-express-surpass-card|Gold Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value having Hilton Gold status for perks like space-available room upgrades and food/beverage credits?|Hotel Status|[0.0, 0.5, 1.0]
hilton-honors-american-express-surpass-card|Hilton Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you stay at Hilton properties and want $200 in annual credits?|Hotel|[0.0, 0.5, 1.0]
hilton-honors-american-express-surpass-card|Free Night|multiple_choice|['No', 'Yes']|Can you spend $15,000 a year on one card to earn a free night at a Hilton hotel?|Hotel|[0.0, 1.0]
southwest-rapid-rewards-priority-credit-card|Anniversary Points|multiple_choice|['No', 'Yes']|Do you value receiving 7,500 bonus points every year to use toward Southwest flights?|Anniversary Bonus|[0.0, 1.0]
southwest-rapid-rewards-priority-credit-card|Southwest Credit|multiple_choice|['No', 'Yes']|Do you spend at least $75 annually on Southwest flights to use this credit?|Airline|[0.0, 1.0]
southwest-rapid-rewards-priority-credit-card|Upgraded Boardings|multiple_choice|['No', 'Sometimes', 'Yes']|How important is it for you to be in the A1-A15 boarding group to pick your favorite seat?|Airline|[0.0, 0.5, 1.0]
southwest-rapid-rewards-priority-credit-card|Inflight Savings|multiple_choice|['No', 'Sometimes', 'Yes']|Do you buy drinks or Wi-Fi on Southwest flights and want 25% back?|Airline|[0.0, 0.5, 1.0]
ihg-one-rewards-premier-credit-card|Free Night|multiple_choice|['No', 'Yes']|Would you use an annual free night at an IHG hotel worth up to 40,000 points?|Hotel|[0.0, 1.0]
ihg-one-rewards-premier-credit-card|Spend Bonus|multiple_choice|['No', 'Maybe', 'Yes']|Is your annual spending high enough ($20k+) that you would value an extra $100 credit and 10k points?|Hotel|[0.0, 0.5, 1.0]
ihg-one-rewards-premier-credit-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you want a credit to cover your Global Entry or TSA PreCheck application?|Travel Security|[0.0, 1.0]
ihg-one-rewards-premier-credit-card|Platinum Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you stay at IHG hotels often enough to value room upgrades and early check-in?|Hotel Status|[0.0, 0.5, 1.0]
american-express-green-card|CLEAR Credit|multiple_choice|['No', 'Yes']|Do you want to breeze through airport security with a $189 CLEAR Plus credit?|Travel Security|[0.0, 1.0]
american-express-green-card|LoungeBuddy Credit|multiple_choice|['No', 'Yes']|Do you like the flexibility of choosing different airport lounges and paying with a $100 credit?|Lounge Access|[0.0, 1.0]
united-quest-card|Free Bags|multiple_choice|['No', 'Sometimes', 'Yes']|Do you frequently check two bags and want to avoid the fees on United?|Airline|[0.0, 0.5, 1.0]
united-quest-card|United Credit|multiple_choice|['No', 'Yes']|Do you spend at least $125 a year on United tickets to fully utilize this credit?|Airline|[0.0, 1.0]
united-quest-card|Award Discount|multiple_choice|['No', 'Sometimes', 'Yes']|Do you book United flights with miles and want to save 10,000 miles on your bookings twice a year?|Airline|[0.0, 0.5, 1.0]
citi-simplicity-card|No Fees|multiple_choice|['No', 'Yes']|Is having no late fees or penalty rates a priority for your financial peace of mind?|Card Protection|[0.0, 1.0]
the-world-of-hyatt-credit-card|Free Night|multiple_choice|['No', 'Yes']|Would you use a "Free Night Award" at a Hyatt Category 1-4 property annually?|Hotel|[0.0, 1.0]
the-world-of-hyatt-credit-card|Spend Free Night|multiple_choice|['No', 'Yes']|Can you spend $15,000 a year on one card to earn an extra free night at a Hyatt?|Hotel|[0.0, 1.0]
the-world-of-hyatt-credit-card|Discoverist Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value Hyatt Discoverist status for perks like late checkout and bottled water?|Hotel Status|[0.0, 0.5, 1.0]
marriott-bonvoy-brilliant-american-express-card|Platinum Status|multiple_choice|['No', 'Sometimes', 'Always']|Do you stay at Marriott hotels often enough to value free breakfast and 4 p.m. late checkout?|Hotel Status|[0.0, 0.5, 1.0]
marriott-bonvoy-brilliant-american-express-card|Marriott Dining|multiple_choice|['No', 'Monthly', 'Weekly']|How often do you dine at restaurants where a $25 monthly credit would be easy to use?|Dining,Hotel|[0.0, 0.8, 1.0]
marriott-bonvoy-brilliant-american-express-card|Free Night|multiple_choice|['No', 'Yes']|Would you use an annual 85,000-point free night at premium hotels like Ritz-Carlton or St. Regis?|Hotel|[0.0, 1.0]
delta-skymiles-reserve-american-express-card|Companion Certificate|multiple_choice|['No', 'Yes']|Do you want a "buy one, get one" certificate for First Class or Comfort+ seats once a year?|Airline|[0.0, 1.0]
delta-skymiles-reserve-american-express-card|Sky Club Access|multiple_choice|['Rarely', 'Occasionally', 'Often']|Are you a loyal Delta flyer who values having a dedicated quiet workspace at their airport hubs?|Lounge Access|[0.0, 0.5, 1.0]
slug-id|BenefitShortDescription|QuestionType|ChoiceList|Question|BenefitCategory|ChoiceWeight
hilton-honors-aspire-card-from-american-express|Diamond Status|multiple_choice|['Rarely', 'Occasionally', 'Always']|How often do you stay at Hilton properties and value perks like executive lounge access and suite upgrades?|Hotel Status|[0.0, 0.5, 1.0]
hilton-honors-aspire-card-from-american-express|Resort Credit|multiple_choice|['No', 'Once a year', 'Twice+ a year']|Do you typically visit Hilton Resorts where you can use up to $400 in annual credits ($200 semi-annually) for dining, spa, or activities?|Hotel|[0.0, 0.5, 1.0]
hilton-honors-aspire-card-from-american-express|Flight Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you fly enough to utilize up to $200 in credits ($50 quarterly) for flight purchases?|Airline|[0.0, 0.5, 1.0]
hilton-honors-aspire-card-from-american-express|Free Night|multiple_choice|['No', 'Yes']|Would you use a "Free Night Reward" at a high-end Hilton property that would otherwise cost hundreds of dollars?|Hotel|[0.0, 1.0]
hilton-honors-aspire-card-from-american-express|CLEAR Plus Credit|multiple_choice|['No', 'Yes']|Do you want up to $209 back annually for CLEAR Plus membership to expedite airport security?|Travel Security|[0.0, 1.0]
hilton-honors-aspire-card-from-american-express|National Executive Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you rent cars from National and value executive status for faster service and upgrades?|Car Rental|[0.0, 0.5, 1.0]
hilton-honors-aspire-card-from-american-express|Property Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you stay at Waldorf Astoria or Conrad hotels and want a $100 credit for a 2-night stay?|Hotel|[0.0, 0.5, 1.0]
hilton-honors-aspire-card-from-american-express|Cell Phone Protection|multiple_choice|['No', 'Somewhat', 'Highly']|Do you value up to $800 per claim in cell phone protection with a $50 deductible?|Insurance|[0.0, 0.5, 1.0]
aeroplan-credit-card|Free Bag|multiple_choice|['No', 'Sometimes', 'Yes']|Do you fly Air Canada and check bags for yourself or your travel companions?|Airline|[0.0, 0.5, 1.0]
aeroplan-credit-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you want a credit to cover the application fee for Global Entry or TSA PreCheck?|Travel Security|[0.0, 1.0]
british-airways-visa-signature-card|Travel Together|multiple_choice|['No', 'Yes']|Can you spend $30,000 a year to earn a companion ticket for a British Airways flight?|Airline|[0.0, 1.0]
capital-one-platinum-secured-credit-card|Credit Building|multiple_choice|['No', 'Somewhat', 'Highly']|Is building or repairing your credit history your primary goal for a new card?|Credit Building|[0.0, 0.5, 1.0]
chase-slate-edge|APR Reduction|multiple_choice|['No', 'Somewhat', 'Highly']|Do you value a potential reduction in your interest rate for making on-time payments?|Credit Building|[0.0, 0.5, 1.0]
ihg-one-rewards-traveler-credit-card|Silver Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value having IHG Silver status for perks like points that don't expire?|Hotel Status|[0.0, 0.5, 1.0]
ihg-one-rewards-traveler-credit-card|Fourth Night Free|multiple_choice|['No', 'Sometimes', 'Yes']|Do you book IHG stays with points and want every 4th night to be free?|Hotel|[0.0, 0.5, 1.0]
united-club-card|Club Membership|multiple_choice|['Never', 'Occasionally', 'Often']|Do you fly United enough to justify unlimited access to United Club lounges?|Lounge Access|[0.0, 0.5, 1.0]
united-club-card|Free Bags|multiple_choice|['No', 'Sometimes', 'Yes']|Do you want to avoid baggage fees for both your first and second checked bags?|Airline|[0.0, 0.5, 1.0]
us-bank-shield-visa-card|Phone Protection|multiple_choice|['No', 'Yes']|Do you want up to $600 in phone protection with just a $25 deductible?|Cell Phone Protection|[0.0, 1.0]
apple-card|Daily Cash|multiple_choice|['No', 'Sometimes', 'Yes']|Do you want your cash back rewards deposited daily into a savings account?|Savings Interest|[0.0, 0.5, 1.0]
apple-card|HYSA Access|multiple_choice|['No', 'Sometimes', 'Yes']|Do you want a high-yield savings account that automatically grows your earned rewards?|Savings Interest|[0.0, 0.5, 1.0]
apple-card|0% Financing|multiple_choice|['No', 'Sometimes', 'Yes']|Do you like the flexibility of paying for major Apple hardware purchases over time interest-free?|Financial Protection|[0.0, 0.5, 1.0]
costco-anywhere-visa-card-by-citi|Reward Certificate|multiple_choice|['No', 'Occasionally', 'Regularly']|Do you shop at Costco enough to value an annual reward certificate?|Shopping|[0.0, 0.5, 1.0]
bank-of-america-premium-rewards-credit-card|Rewards Boost|multiple_choice|['None', 'Some', 'High']|Do you have significant balances with Bank of America or Merrill to unlock a 25%-75% points bonus?|Bonus|[0.0, 0.5, 1.0]
bank-of-america-premium-rewards-credit-card|Airline Credit|multiple_choice|['No', 'Yes']|Do you spend at least $100 on airline incidental fees (bags, seats) annually?|Airline|[0.0, 1.0]
bank-of-america-premium-rewards-credit-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you want a credit to cover the application fee for Global Entry or TSA PreCheck?|Travel Security|[0.0, 1.0]
citi-secured-mastercard|Credit Building|multiple_choice|['No', 'Somewhat', 'Highly']|Is establishing a credit history your main priority right now?|Credit Building|[0.0, 0.5, 1.0]
amazon-store-card|Special Financing|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value interest-free financing on large Amazon purchases?|Shopping,Amazon|[0.0, 0.5, 1.0]
wells-fargo-reflect-secured-credit-card|Phone Protection|multiple_choice|['No', 'Yes']|Do you want phone protection coverage while building your credit history?|Cell Phone Protection|[0.0, 1.0]
penfed-pathfinder-rewards-visa-signature-card|Airline Credit|multiple_choice|['No', 'Yes']|Do you spend $100 annually on airline fees and want a statement credit?|Airline|[0.0, 1.0]
us-bank-altitude-connect-visa-signature-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you want a credit to cover the application fee for Global Entry or TSA PreCheck?|Travel Security|[0.0, 1.0]
us-bank-altitude-connect-visa-signature-card|Priority Pass|multiple_choice|['No', 'Sometimes', 'Yes']|Would you value having 4 one-time passes to airport lounges annually?|Lounge Access|[0.0, 0.5, 1.0]
us-bank-altitude-connect-visa-signature-card|GigSky Global Data|multiple_choice|['No', 'Yes']|Do you travel internationally and need mobile data without swapping physical SIM cards?|Travel|[0.0, 1.0]
us-bank-altitude-connect-visa-signature-card|SmartDelay|multiple_choice|['No', 'Yes']|Would you value free lounge access for you and guests if your flight is delayed?|Lounge Access|[0.0, 1.0]
us-bank-altitude-reserve-visa-infinite-card|Travel & Dining Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Is your annual spending on travel and dining at least $325, making this credit easy to use?|Travel,Dining|[0.0, 0.5, 1.0]
us-bank-altitude-reserve-visa-infinite-card|Priority Pass|multiple_choice|['No', 'Sometimes', 'Yes']|Would you value having 12 one-time passes to airport lounges annually?|Lounge Access|[0.0, 0.5, 1.0]
us-bank-altitude-reserve-visa-infinite-card|TSA Credit|multiple_choice|['No', 'Yes']|Do you want a credit to cover the application fee for Global Entry or TSA PreCheck?|Travel Security|[0.0, 1.0]
paypal-credit|Promotional Financing|multiple_choice|['No', 'Sometimes', 'Yes']|Do you often use PayPal and value interest-free financing on larger purchases?|Online Shopping|[0.0, 0.5, 1.0]
bilt-mastercard|Rent Day Bonus|multiple_choice|['No', 'Sometimes', 'Yes']|Do you enjoy participating in monthly challenges or bonus rewards events on the 1st of the month?|Dining,Travel,All Purchases|[0.0, 0.5, 1.0]
bilt-mastercard|Phone Protection|multiple_choice|['No', 'Somewhat', 'Highly']|Do you value up to $800 in phone protection with a low $25 deductible?|Cell Phone Protection|[0.0, 0.5, 1.0]
bilt-mastercard|No FTF|multiple_choice|['No', 'Yes']|Do you travel outside the U.S. and want to avoid the typical 3% fee on every purchase?|Travel|[0.0, 1.0]
bilt-mastercard|Lyft Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you use the Lyft platform for your commuting or travel transportation needs?|Rideshare|[0.0, 0.5, 1.0]
ink-business-preferred-credit-card|DashPass|multiple_choice|['No', 'Sometimes', 'Yes']|Does your business value a free delivery membership for office food orders?|Delivery|[0.0, 0.5, 1.0]
ink-business-preferred-credit-card|DoorDash Non-Restaurant Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you order office supplies or convenience items via DoorDash?|Delivery|[0.0, 0.5, 1.0]
ink-business-preferred-credit-card|Cell Phone Protection|multiple_choice|['No', 'Somewhat', 'Highly']|Does your business value up to $1,000 in coverage for employee cell phones?|Cell Phone Protection|[0.0, 0.5, 1.0]
ink-business-preferred-credit-card|Primary Rental Coverage|multiple_choice|['No', 'Sometimes', 'Yes']|Do you rent cars for business and want the peace of mind of primary insurance coverage?|Rental Cars|[0.0, 0.5, 1.0]
ink-business-preferred-credit-card|No FTF|multiple_choice|['No', 'Yes']|Do you make international business purchases and want to avoid transaction fees?|Travel|[0.0, 1.0]
ink-business-premier-credit-card|Cell Phone Protection|multiple_choice|['No', 'Somewhat', 'Highly']|Does your business value up to $1,000 in coverage for employee cell phones?|Cell Phone Protection|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|Airline Fee Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you fly enough for business to utilize $200 in credits for incidental fees?|Airline|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|Dell Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you need to purchase professional tech hardware or accessories for your business?|Tech|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|Indeed Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you need to post job listings or use recruitment tools to hire for your business?|Hiring|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|Adobe Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you use professional creative software for photography, design, or video editing?|Software|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|Wireless Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you have recurring monthly cell phone service expenses for your business operations?|Telecom|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|CLEAR Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you want a credit for Global Entry or TSA PreCheck to expedite your business travel?|Travel Security|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|Walmart+ Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value free grocery shipping and the Paramount+ streaming service?|Shopping|[0.0, 0.5, 1.0]
the-business-platinum-card-from-american-express|Global Lounge Access|multiple_choice|['Never', 'Occasionally', 'Often']|How often do you travel for business and value high-end airport lounge access?|Lounge Access|[0.0, 0.5, 1.0]
american-express-business-gold-card|Flexible Business Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you regularly spend $20/month at FedEx, Grubhub, or office supply stores?|Business Expenses|[0.0, 0.5, 1.0]
american-express-business-gold-card|Walmart+ Credit|multiple_choice|['No', 'Yes']|Would you utilize a free Walmart+ membership for business or personal use?|Shopping|[0.0, 1.0]
capital-one-spark-cash-plus|Annual Fee Refund|multiple_choice|['No', 'Maybe', 'Yes']|Does your business spend over $150,000 annually to earn back your annual fee?|Annual Fee Refund|[0.0, 0.5, 1.0]
capital-one-spark-miles-for-business|TSA/Global Entry Credit|multiple_choice|['No', 'Yes']|Do you want a credit to cover the application fee for Global Entry or TSA PreCheck?|Travel Security|[0.0, 1.0]
capital-one-spark-miles-for-business|Hertz Status|multiple_choice|['No', 'Sometimes', 'Yes']|Does your business benefit from elite status and upgrades on car rentals?|Rental Cars|[0.0, 0.5, 1.0]
bank-of-america-travel-rewards-credit-card|No Foreign Transaction Fees|multiple_choice|['No', 'Yes']|Do you travel abroad and want to avoid the typical 3% fee on every purchase?|Travel|[0.0, 1.0]
bank-of-america-travel-rewards-credit-card|Preferred Rewards Bonus|multiple_choice|['None', 'Some', 'High']|Do you have significant balances with Bank of America to unlock a 25%-75% points bonus?|Rewards Bonus|[0.0, 0.5, 1.0]
blue-business-plus-credit-card-from-american-express|No Foreign Transaction Fees|multiple_choice|['No', 'Yes']|Do you make international business purchases and want to avoid transaction fees?|Travel|[0.0, 1.0]
blue-business-plus-credit-card-from-american-express|Free Employee Cards|multiple_choice|['No', 'Yes']|Do you need to issue additional cards to employees at no extra cost?|Business Management|[0.0, 1.0]
blue-business-plus-credit-card-from-american-express|Buying Power|multiple_choice|['No', 'Somewhat', 'Highly']|Do you value the flexibility to spend above your credit limit for large business purchases?|Financial Protection|[0.0, 0.5, 1.0]
capital-one-ventureone-rewards-credit-card|No Foreign Transaction Fees|multiple_choice|['No', 'Yes']|Do you travel abroad and want to avoid the typical 3% fee on every purchase?|Travel|[0.0, 1.0]
capital-one-ventureone-rewards-credit-card|Miles Transfer Partners|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value the ability to transfer miles to various airline and hotel partners?|Redemption Flexibility|[0.0, 0.5, 1.0]
capital-one-ventureone-rewards-credit-card|Hertz Five Star Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you rent cars frequently enough to benefit from elite status and skipping the counter?|Car Rental|[0.0, 0.5, 1.0]
discover-it-miles|No Foreign Transaction Fees|multiple_choice|['No', 'Yes']|Do you travel abroad and want to avoid the typical 3% fee on every purchase?|Travel|[0.0, 1.0]
